gemeente,fractie,aantal_leden,totaal_raad,in_schepencollege,voorzitter_gemeenteraad
Aalst,CD&V,6,44,ja,nee
Aalst,Groen,4,44,nee,nee
Aalst,LijstA,2,44,nee,nee
Aalst,N-VA,17,44,ja,ja
Aalst,Open VLD,4,44,ja,nee
Aalst,SP.a,3,44,nee,nee
Aalst,Vlaams Belang,8,44,nee,nee
Aalter,CD&V/N-VA,20,30,nee,nee
Aalter,Groen,7,30,nee,nee
Aalter,Open Vld Plus,2,30,nee,nee
Aalter,VLAAMS BELANG,1,30,nee,nee
Aarschot,CD&V,6,29,nee,nee
Aarschot,Groen,3,29,nee,nee
Aarschot,N-VA,3,29,nee,nee
Aarschot,Onbekend,1,29,nee,nee
Aarschot,Open Vld,10,29,ja,ja
Aarschot,VLAAMS BELANG,2,29,nee,nee
Aarschot,Vooruit,4,29,ja,nee
Aartselaar,Groen,3,24,nee,nee
Aartselaar,N-VA,12,24,nee,ja
Aartselaar,Onafhankelijk,1,24,nee,nee
Aartselaar,Onbekend,1,24,nee,nee
Aartselaar,Open Vld,4,24,nee,nee
Aartselaar,Samen NAP,3,24,nee,nee
Affligem,GROEN,1,23,nee,nee
Affligem,LIJST BURGEMEESTER,10,23,ja,ja
Affligem,N-VA,6,23,nee,nee
Affligem,OPEN2040,6,23,ja,nee
Alken,CD&V,1,21,nee,nee
Alken,Groen,3,21,ja,nee
Alken,N-VA,11,21,ja,nee
Alken,Open Vld,6,21,nee,nee
Alveringem,GEMEENTEBELANGENCD&V,10,17,nee,nee
Alveringem,PRO & N-VA,7,17,nee,nee
Antwerpen,CD&V,2,59,nee,nee
Antwerpen,Groen,11,59,nee,nee
Antwerpen,N-VA,24,59,ja,ja
Antwerpen,Onafhankelijk,1,59,nee,nee
Antwerpen,Onafhankelijk,1,59,nee,nee
Antwerpen,Onbekend,1,59,nee,nee
Antwerpen,Open VLD,3,59,ja,nee
Antwerpen,PVDA,4,59,nee,nee
Antwerpen,VLAAMS BELANG,6,59,nee,nee
Antwerpen,Vooruit,6,59,ja,nee
Anzegem,CD&V-EENDRACHT,1,9,nee,nee
Anzegem,INZET,2,9,nee,nee
Anzegem,Samen één,6,9,ja,nee
Ardooie,GROEP 82,5,6,ja,ja
Ardooie,Onafhankelijk,1,6,nee,nee
Arendonk,Arendonk Positief,2,23,nee,nee
Arendonk,N-VA,10,23,ja,nee
Arendonk,VLAAMS BELANG,2,23,nee,nee
Arendonk,Vooruit - Groen,3,23,nee,nee
Arendonk,iedereen 2370,6,23,ja,ja
As,CD&V,4,19,nee,nee
As,N-VA,2,19,nee,nee
As,VOLUIT!,11,19,ja,nee
As,sp.a,2,19,nee,nee
Asse,ANDERS,5,31,nee,nee
Asse,CD&V,9,31,nee,nee
Asse,Groen,3,31,nee,nee
Asse,N-VA,8,31,nee,nee
Asse,Onbekend,1,31,nee,nee
Asse,VLAAMS BELANG,1,31,nee,nee
Asse,ZELLIKRELEGEM-VOLK,4,31,nee,nee
Assenede,Anders,8,24,nee,nee
Assenede,SamenPlus,13,24,ja,ja
Assenede,Vlaams Belang,3,24,nee,nee
Avelgem,CD&V,3,12,nee,nee
Avelgem,N-VA,1,12,nee,nee
Avelgem,Tandem,3,12,nee,nee
Avelgem,gbA-GEMEENTEBELANGEN,5,12,nee,ja
Baarle-Hertog,CDK,4,12,nee,nee
Baarle-Hertog,FORUM+,4,12,ja,ja
Baarle-Hertog,N-VA,4,12,ja,nee
Balen,CD&V,12,27,ja,ja
Balen,N-VA,6,27,nee,nee
Balen,Onafhankelijk,1,27,nee,nee
Balen,Open Vld Plus,1,27,nee,nee
Balen,VLAAMS BELANG,4,27,nee,nee
Balen,sp.a Balen 2025,3,27,ja,nee
Beernem,CD&V,1,25,nee,nee
Beernem,CD&V Beernem,11,25,nee,nee
Beernem,GROEN,3,25,nee,nee
Beernem,N-VA,9,25,nee,nee
Beernem,sp.a,1,25,nee,nee
Beerse,BEERSEplus,3,26,ja,nee
Beerse,CDE-Vlim.be,11,26,ja,ja
Beerse,Groen-Hart v. Beerse,2,26,nee,nee
Beerse,N-VA,7,26,nee,nee
Beerse,Vlaams Belang,3,26,nee,nee
Beersel,Blauw beersel,1,12,nee,nee
Beersel,Lijst BURGEMEESTER,3,12,nee,nee
Beersel,WijZijnBeersel,4,12,nee,nee
Beersel,union francophone,4,12,nee,nee
Begijnendijk,LEEF,2,21,ja,nee
Begijnendijk,MGB,9,21,nee,nee
Begijnendijk,N-VA,2,21,ja,nee
Begijnendijk,S.A.F.E.,2,21,ja,nee
Begijnendijk,samen,6,21,ja,ja
Bekkevoort,Bekkevoort Beter,1,18,nee,nee
Bekkevoort,CD&V,7,18,ja,ja
Bekkevoort,GBL,1,18,nee,nee
Bekkevoort,N-VA,2,18,nee,nee
Bekkevoort,ONS DORP,6,18,ja,nee
Bekkevoort,Open Vld,1,18,nee,nee
Beringen,CD&V,9,35,nee,nee
Beringen,Groen,2,35,nee,nee
Beringen,N-VA,6,35,nee,nee
Beringen,VLAAMS BELANG,3,35,nee,nee
Beringen,VOLUIT,6,35,nee,nee
Beringen,Vooruit,8,35,nee,nee
Beringen,sp.a,1,35,nee,nee
Berlaar,CD&V,8,21,ja,ja
Berlaar,Groen,2,21,nee,nee
Berlaar,N-VA,3,21,nee,nee
Berlaar,Onbekend,3,21,nee,nee
Berlaar,Vlaams Belang,2,21,nee,nee
Berlaar,kartel BHG,3,21,nee,nee
Berlare,CD&V,6,23,nee,nee
Berlare,Gemeentebelangen,1,23,nee,nee
Berlare,N-VA,2,23,nee,nee
Berlare,Open Vld,12,23,ja,ja
Berlare,VLAAMS BELANG,1,23,nee,nee
Berlare,Vooruit en Groen,1,23,nee,nee
Bertem,CD&V,6,21,ja,nee
Bertem,GEMBELANGEN OPEN VLD,8,21,ja,ja
Bertem,GROEN,2,21,nee,nee
Bertem,N-VA,2,21,nee,nee
Bertem,Onafhankelijk,1,21,nee,nee
Bertem,sp.a,2,21,nee,nee
Bever,OPEN VOOR DE MENS,5,11,nee,nee
Bever,Thuis in Bever,6,11,ja,ja
Beveren,Beveren 2020,2,35,nee,nee
Beveren,CD&V Beveren,13,35,ja,ja
Beveren,Groen,2,35,nee,nee
Beveren,Groen-sp.a Beveren,2,35,nee,nee
Beveren,N-VA,10,35,ja,nee
Beveren,Onafhankelijken,1,35,nee,nee
Beveren,Open Vld,1,35,nee,nee
Beveren,VLAAMS BELANG,3,35,nee,nee
Beveren,Vooruit,1,35,nee,nee
Bierbeek,CD&V,9,22,nee,nee
Bierbeek,N-VA,3,22,nee,nee
Bierbeek,Open Bierbeek,5,22,nee,nee
Bierbeek,sp.a Groen,5,22,nee,nee
Bilzen-Hoeselt,BETER BILZEN,7,31,nee,nee
Bilzen-Hoeselt,BILZEN BRUIST,3,31,nee,nee
Bilzen-Hoeselt,Groen,1,31,nee,nee
Bilzen-Hoeselt,N-VA,6,31,nee,nee
Bilzen-Hoeselt,ToB,12,31,nee,nee
Bilzen-Hoeselt,VLAAMS BELANG,2,31,nee,nee
Blankenberge,CD&V2030,4,28,ja,nee
Blankenberge,N-VA,7,28,ja,nee
Blankenberge,Open Vld,9,28,nee,nee
Blankenberge,Vlaams Belang,2,28,nee,nee
Blankenberge,Vooruit,6,28,ja,ja
Bocholt,BOCHOLT BELEEFT,1,23,nee,nee
Bocholt,N-VA,4,23,nee,nee
Bocholt,NU - Nieuwe Unie,5,23,nee,nee
Bocholt,Onafhankelijk,1,23,nee,nee
Bocholt,Onbekend,1,23,nee,nee
Bocholt,SAMEN,2,23,ja,nee
Bocholt,Via,9,23,nee,nee
Boechout,'t Dorp,3,24,nee,nee
Boechout,CD&V,2,24,ja,nee
Boechout,Groen-gangmaker,2,24,ja,nee
Boechout,N-VA,5,24,nee,nee
Boechout,PRO Boechout&Vremde,11,24,ja,ja
Boechout,Vlaams Belang,1,24,nee,nee
Bonheiden,BR30,5,22,ja,nee
Bonheiden,CD&V,2,22,ja,ja
Bonheiden,Groen,4,22,nee,nee
Bonheiden,N-VA,6,22,nee,nee
Bonheiden,Onbekend,2,22,nee,nee
Bonheiden,Open VLD,3,22,ja,nee
Boom,BOOM één,7,25,nee,nee
Boom,CD&V,3,25,ja,nee
Boom,Groen,1,25,ja,nee
Boom,N-VA,10,25,ja,ja
Boom,Onbekend,1,25,nee,nee
Boom,VLAAMS BELANG,3,25,nee,nee
Boortmeerbeek,CD&V,3,24,nee,nee
Boortmeerbeek,Groen,3,24,nee,nee
Boortmeerbeek,N-VA,4,24,nee,nee
Boortmeerbeek,Onafhankelijk,1,24,nee,nee
Boortmeerbeek,Open VLD,11,24,ja,ja
Boortmeerbeek,SP.a,1,24,ja,nee
Boortmeerbeek,Vlaams Belang,1,24,nee,nee
Borgloon,CD&V,2,21,nee,nee
